time,ver,charge_state,I_L1,I_L2,I_L3,Temp,V_L1,V_L2,V_L3,ext_lock,P,E_cyc_hb,E_cyc_lb,E_hb,E_lb,I_max,I_min,watchdog,standby,remote_lock,max_I_cmd,FailSafe_I
00:00:12,264,2,0,0,0,206,235,235,237,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:01:12,264,2,0,0,0,206,236,236,238,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:02:12,264,2,0,0,0,206,235,235,237,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:03:12,264,2,0,0,0,206,236,236,238,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:04:12,264,2,0,0,0,206,236,236,238,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:05:13,264,2,0,0,0,209,237,236,238,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:06:13,264,2,0,0,0,206,237,236,238,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:07:13,264,2,0,0,0,206,237,236,238,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:08:13,264,2,0,0,0,206,237,237,238,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:09:13,264,2,0,0,0,206,237,236,239,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:10:13,264,2,0,0,0,206,236,236,238,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:11:13,264,2,0,0,0,206,237,237,239,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:12:13,264,2,0,0,0,206,236,236,238,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:13:14,264,2,0,0,0,209,237,237,239,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:14:14,264,2,0,0,0,206,237,236,239,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:15:14,264,2,0,0,0,206,237,237,238,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:16:14,264,2,0,0,0,206,237,237,238,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:17:14,264,2,0,0,0,206,236,236,237,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:18:14,264,2,0,0,0,206,237,236,238,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:19:15,264,2,0,0,0,206,236,236,237,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:20:15,264,2,0,0,0,206,236,235,237,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:21:15,264,2,0,0,0,206,236,236,237,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:22:15,264,2,0,0,0,206,236,236,237,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:23:15,264,2,0,0,0,206,236,236,237,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:24:15,264,2,0,0,0,206,236,237,238,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:25:15,264,2,0,0,0,206,236,237,238,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:26:16,264,2,0,0,0,206,235,236,237,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:27:16,264,2,0,0,0,206,237,237,239,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:28:16,264,2,0,0,0,206,237,237,239,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:29:16,264,2,0,0,0,206,237,237,239,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:30:16,264,2,0,0,0,206,237,237,239,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:31:16,264,2,0,0,0,206,237,237,239,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:32:17,264,2,0,0,0,202,237,237,238,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:33:17,264,2,0,0,0,206,237,237,238,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:34:17,264,2,0,0,0,206,237,236,238,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:35:17,264,2,0,0,0,206,237,237,239,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:36:17,264,2,0,0,0,206,236,237,239,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:37:17,264,2,0,0,0,206,237,237,239,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:38:17,264,2,0,0,0,206,237,237,239,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:39:18,264,2,0,0,0,202,236,236,238,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:40:18,264,2,0,0,0,202,237,237,239,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:41:18,264,2,0,0,0,206,237,237,239,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:42:18,264,2,0,0,0,206,237,237,238,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:43:18,264,2,0,0,0,206,237,237,239,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:44:18,264,2,0,0,0,202,237,237,239,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:45:18,264,2,0,0,0,202,238,237,239,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
00:46:19,264,2,0,0,0,202,238,237,239,1,0,3,28593,6,12664,10,6,15000,4,1,100,100
