time,ver,charge_state,I_L1,I_L2,I_L3,Temp,V_L1,V_L2,V_L3,ext_lock,P,E_cyc_hb,E_cyc_lb,E_hb,E_lb,I_max,I_min,watchdog,standby,remote_lock,max_I_cmd,FailSafe_I
00:00:18,264,2,0,0,0,167,235,234,238,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:01:18,264,2,0,0,0,167,235,234,238,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:02:19,264,2,0,0,0,167,236,234,239,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:03:19,264,2,0,0,0,167,235,235,239,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:04:19,264,2,0,0,0,167,236,235,239,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:05:19,264,2,0,0,0,167,236,234,239,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:06:19,264,2,0,0,0,167,235,234,238,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:07:19,264,2,0,0,0,167,236,235,239,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:08:20,264,2,0,0,0,167,236,235,239,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:09:20,264,2,0,0,0,167,236,235,239,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:10:20,264,2,0,0,0,167,236,235,239,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:11:20,264,2,0,0,0,167,234,234,237,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:12:20,264,2,0,0,0,167,235,235,238,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:13:20,264,2,0,0,0,167,235,235,238,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:14:21,264,2,0,0,0,167,234,234,237,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:15:21,264,2,0,0,0,167,235,234,238,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:16:21,264,2,0,0,0,167,235,234,238,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:17:21,264,2,0,0,0,167,235,234,238,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:18:21,264,2,0,0,0,167,235,234,238,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:19:21,264,2,0,0,0,167,235,234,238,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:20:21,264,2,0,0,0,167,235,234,238,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:21:22,264,2,0,0,0,167,235,234,238,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:22:22,264,2,0,0,0,167,234,233,237,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:23:22,264,2,0,0,0,167,235,234,238,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:24:22,264,2,0,0,0,167,236,234,238,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:25:22,264,2,0,0,0,167,235,234,238,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:26:22,264,2,0,0,0,167,236,235,238,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:27:22,264,2,0,0,0,167,235,234,238,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:28:23,264,2,0,0,0,167,236,235,238,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:29:23,264,2,0,0,0,167,236,234,238,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:30:23,264,2,0,0,0,167,235,234,238,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:31:23,264,2,0,0,0,167,236,235,238,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:32:23,264,2,0,0,0,167,236,235,238,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:33:23,264,2,0,0,0,167,235,235,238,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:34:24,264,2,0,0,0,167,236,235,239,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:35:24,264,2,0,0,0,167,235,235,238,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:36:24,264,2,0,0,0,167,236,235,239,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:37:24,264,2,0,0,0,167,236,235,239,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:38:24,264,2,0,0,0,167,235,235,238,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:39:24,264,2,0,0,0,167,236,235,238,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:40:24,264,2,0,0,0,167,236,235,238,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:41:25,264,2,0,0,0,167,236,235,238,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:42:25,264,2,0,0,0,167,236,235,238,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
00:43:25,264,2,0,0,0,167,236,235,238,1,0,6,23706,9,7777,10,6,15000,4,1,100,100
